Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
51,35301.0,7181,575.0,40,2,8.4,36,0.05,Bachelor's,Self-employed,Married,Yes,Yes,Business,Yes,0
45,19605.0,60074,530.0,37,3,4.66,48,0.14,Bachelor's,Full-time,Married,Yes,No,Education,Yes,1
48,38324.0,67297,488.0,0,4,14.06,36,0.25,High School,Self-employed,Married,No,No,Education,No,1
25,49349.0,21822,510.0,3,2,11.64,36,0.05,High School,Part-time,Single,Yes,No,Other,No,1
56,76484.0,170854,505.0,0,2,11.47,12,0.26,High School,Full-time,Married,Yes,Yes,Business,No,1
43,54732.0,7823,747.0,5,2,8.22,36,0.05,Bachelor's,Self-employed,Married,No,No,Other,No,0
51,17359.0,138376,681.0,2,2,19.98,36,0.95,High School,Self-employed,Divorced,No,No,Other,No,1
20,27857.0,33866,663.0,6,3,11.35,24,0.14,High School,Part-time,Single,Yes,Yes,Education,No,1
67,26887.0,80087,630.0,23,2,8.17,36,0.24,Master's,Full-time,Single,No,No,Auto,Yes,1
29,101291.0,68255,497.0,33,2,7.81,36,0.05,Bachelor's,Self-employed,Divorced,Yes,No,Home,Yes,1
18,85815.0,16053,692.0,75,2,8.77,36,0.05,PhD,Full-time,Divorced,Yes,Yes,Other,Yes,0
61,31179.0,28051,679.0,40,1,20.24,60,0.18,Master's,Full-time,Single,Yes,Yes,Auto,No,1
22,17583.0,50259,663.0,0,3,10.06,24,0.29,Bachelor's,Part-time,Divorced,No,No,Other,No,1
47,93586.0,117447,594.0,18,1,7.36,60,0.09,Bachelor's,Part-time,Married,Yes,Yes,Home,No,1
47,91683.0,190879,601.0,33,2,21.56,36,0.45,Master's,Full-time,Divorced,No,No,Business,No,1
34,82524.0,6248,704.0,11,1,21.7,60,0.05,Bachelor's,Part-time,Married,No,No,Home,Yes,1
65,80269.0,31083,594.0,13,2,16.99,36,0.07,Bachelor's,Full-time,Divorced,No,Yes,Education,Yes,1
64,37904.0,71183,750.0,48,1,20.17,48,0.38,Bachelor's,Part-time,Married,Yes,Yes,Auto,No,1
40,21836.0,50012,795.0,1,4,20.3,48,0.46,Bachelor's,Full-time,Single,Yes,Yes,Auto,No,1
32,37718.0,176905,755.0,23,2,17.33,36,0.81,High School,Full-time,Single,No,No,Education,Yes,1
54,38884.0,6026,668.0,48,3,12.24,48,0.05,High School,Full-time,Single,Yes,No,Education,Yes,0
38,38562.0,39547,652.0,47,3,22.8,48,0.23,High School,Part-time,Married,No,No,Other,Yes,1
31,42085.0,71302,668.0,3,1,9.22,24,0.16,Bachelor's,Self-employed,Married,No,No,Home,No,1
19,25428.0,19722,717.0,55,2,19.42,48,0.15,Master's,Self-employed,Married,No,No,Home,Yes,1
28,30963.0,82649,783.0,2,4,7.0,48,0.19,Bachelor's,Part-time,Married,No,No,Education,No,1
68,34932.0,10083,707.0,77,2,16.33,36,0.05,Master's,Part-time,Married,Yes,Yes,Auto,No,0
56,19919.0,40983,515.0,7,1,20.26,24,0.42,High School,Full-time,Married,No,No,Home,No,1
55,36267.0,72664,581.0,3,3,17.92,36,0.36,Bachelor's,Full-time,Married,No,Yes,Education,No,1
51,73212.0,23616,647.0,2,2,17.58,48,0.06,High School,Unemployed,Single,Yes,No,Auto,Yes,1
55,76621.0,9602,743.0,12,3,12.25,48,0.05,Master's,Self-employed,Single,No,Yes,Business,Yes,0
67,33560.0,193823,850.0,12,2,21.8,36,0.95,Bachelor's,Full-time,Single,Yes,Yes,Education,Yes,1
51,40602.0,152081,666.0,22,2,8.89,36,0.33,Bachelor's,Unemployed,Married,No,Yes,Education,No,1
35,16198.0,161522,716.0,39,2,21.94,24,0.95,Master's,Full-time,Single,Yes,No,Home,No,1
47,54276.0,235388,528.0,21,2,2.81,36,0.12,Bachelor's,Full-time,Single,Yes,No,Home,No,1
32,33148.0,17251,600.0,115,1,15.2,24,0.08,Master's,Full-time,Married,No,Yes,Other,No,1
44,35637.0,15302,690.0,7,3,15.7,36,0.07,Bachelor's,Full-time,Married,No,Yes,Auto,Yes,1
68,87410.0,7088,485.0,7,2,7.78,36,0.05,High School,Self-employed,Divorced,Yes,Yes,Auto,Yes,1
51,36685.0,138439,680.0,36,3,18.59,36,0.7,High School,Full-time,Married,No,No,Education,No,1
69,15749.0,88844,627.0,11,4,6.23,48,0.35,Master's,Self-employed,Single,No,Yes,Business,No,1
55,24033.0,65186,663.0,5,2,11.09,60,0.3,High School,Full-time,Divorced,Yes,No,Education,No,1
50,37593.0,162596,599.0,47,2,21.78,12,0.94,High School,Self-employed,Married,No,No,Auto,No,1
41,34331.0,56350,704.0,7,1,10.67,24,0.18,Master's,Full-time,Single,No,No,Business,Yes,1
32,83906.0,13337,749.0,41,2,20.18,36,0.05,Bachelor's,Unemployed,Married,No,Yes,Education,No,1
47,42341.0,16678,723.0,6,2,4.17,60,0.05,Bachelor's,Full-time,Single,No,Yes,Auto,No,0
59,55950.0,13506,720.0,84,1,4.52,24,0.05,PhD,Part-time,Married,No,No,Education,Yes,0
68,37176.0,27060,708.0,10,1,5.92,48,0.05,High School,Part-time,Single,No,No,Education,No,1
34,35272.0,33633,658.0,41,2,5.63,36,0.05,Bachelor's,Part-time,Single,No,No,Education,No,1
22,35688.0,100625,622.0,55,2,23.53,60,0.66,High School,Full-time,Married,No,No,Auto,Yes,1
46,33521.0,17736,738.0,3,3,4.46,12,0.05,High School,Part-time,Single,No,No,Education,Yes,0
21,42070.0,82538,584.0,2,1,5.29,24,0.1,Bachelor's,Full-time,Married,No,No,Home,No,1
27,25089.0,45545,702.0,27,2,5.75,12,0.1,High School,Full-time,Single,No,No,Home,Yes,1
34,92591.0,450000,700.0,29,2,15.17,48,0.74,Bachelor's,Part-time,Married,No,Yes,Auto,Yes,1
27,29178.0,94922,570.0,29,2,12.84,36,0.42,High School,Unemployed,Divorced,No,Yes,Auto,No,1
34,20586.0,213335,579.0,18,2,17.91,24,0.95,Bachelor's,Full-time,Married,No,No,Auto,No,1
37,18553.0,30145,703.0,81,3,9.55,12,0.16,Bachelor's,Self-employed,Single,No,No,Home,No,1
41,15472.0,12878,677.0,35,2,2.9,48,0.05,High School,Full-time,Single,No,No,Home,No,1
22,34238.0,47300,690.0,2,2,9.61,48,0.13,High School,Full-time,Married,No,No,Education,No,1
51,22272.0,12959,641.0,46,1,19.03,60,0.11,High School,Self-employed,Married,Yes,Yes,Home,No,1
23,15765.0,45689,790.0,9,1,19.92,24,0.58,Bachelor's,Full-time,Single,No,Yes,Home,No,1
19,40690.0,23877,710.0,38,2,17.7,36,0.1,PhD,Self-employed,Married,No,No,Other,No,1
30,54877.0,45524,774.0,1,3,10.89,60,0.09,Bachelor's,Part-time,Single,No,No,Auto,No,1
60,18137.0,184308,637.0,43,1,15.43,24,0.95,High School,Full-time,Single,Yes,Yes,Auto,No,1
60,36626.0,25467,744.0,23,2,5.15,36,0.05,Master's,Full-time,Divorced,No,No,Other,Yes,0
65,62639.0,306551,633.0,38,4,7.54,36,0.37,Master's,Full-time,Married,No,Yes,Home,No,1
28,160000.0,20629,632.0,20,2,7.43,12,0.05,Bachelor's,Self-employed,Single,No,No,Other,Yes,0
68,53506.0,18999,556.0,48,2,3.66,48,0.05,Master's,Full-time,Married,Yes,Yes,Business,No,0
64,24828.0,52219,698.0,88,2,22.67,48,0.48,High School,Full-time,Single,No,Yes,Education,No,1
40,59125.0,115726,572.0,40,2,11.49,24,0.22,High School,Self-employed,Married,No,No,Business,No,1
33,46889.0,88058,607.0,40,2,21.23,12,0.4,High School,Full-time,Married,No,No,Business,No,1
48,23330.0,82140,544.0,7,2,6.88,48,0.24,High School,Part-time,Single,No,No,Other,Yes,1
28,81659.0,24930,498.0,13,1,18.89,24,0.06,High School,Self-employed,Single,No,No,Business,Yes,1
33,34515.0,6366,652.0,4,4,19.69,36,0.05,Bachelor's,Full-time,Married,No,Yes,Business,No,1
25,129435.0,15586,599.0,22,1,2.1,24,0.05,Bachelor's,Self-employed,Married,No,No,Auto,No,0
21,59918.0,30798,688.0,17,2,2.75,48,0.05,High School,Self-employed,Single,No,No,Business,No,0
57,51204.0,218859,655.0,10,2,22.26,36,0.95,High School,Unemployed,Single,Yes,Yes,Business,No,1
21,60613.0,156377,748.0,2,3,14.51,36,0.37,High School,Full-time,Divorced,No,Yes,Education,Yes,1
42,37759.0,18436,823.0,80,2,8.26,36,0.05,Bachelor's,Self-employed,Divorced,Yes,No,Home,No,0
20,39627.0,82595,757.0,27,2,6.09,12,0.13,Bachelor's,Full-time,Single,Yes,No,Other,No,1
49,81682.0,56909,662.0,11,1,19.99,48,0.14,Bachelor's,Full-time,Single,No,No,Business,Yes,1
20,54981.0,8067,717.0,12,4,6.26,36,0.05,Bachelor's,Full-time,Married,No,Yes,Auto,Yes,0
44,94638.0,32884,771.0,15,1,20.56,36,0.07,Bachelor's,Full-time,Married,No,Yes,Home,No,0
46,92518.0,44940,617.0,50,4,15.69,36,0.08,High School,Self-employed,Married,No,No,Home,Yes,1
49,146261.0,71080,736.0,7,1,16.52,36,0.08,Bachelor's,Self-employed,Married,Yes,No,Auto,No,1
67,57164.0,25965,771.0,58,1,11.62,24,0.05,Master's,Full-time,Single,No,Yes,Business,No,0
68,39421.0,167921,667.0,11,1,2.79,24,0.12,High School,Self-employed,Single,Yes,Yes,Auto,No,1
36,21366.0,41075,699.0,61,2,14.2,24,0.27,Bachelor's,Unemployed,Single,No,No,Home,Yes,1
38,57772.0,22143,833.0,67,1,17.7,24,0.07,Bachelor's,Self-employed,Married,No,No,Business,Yes,0
22,27065.0,27825,606.0,35,2,2.07,48,0.05,Master's,Full-time,Single,No,Yes,Other,No,1
35,26641.0,88631,637.0,67,2,2.57,24,0.09,Bachelor's,Part-time,Single,No,No,Education,No,1
45,24526.0,66346,707.0,41,3,21.96,48,0.59,High School,Full-time,Married,No,No,Home,Yes,1
59,87814.0,86329,584.0,4,2,16.97,48,0.17,Bachelor's,Unemployed,Single,No,No,Business,No,1
39,85863.0,25747,653.0,93,2,19.4,48,0.06,High School,Full-time,Divorced,No,No,Education,No,0
38,49890.0,28747,556.0,6,2,2.58,48,0.05,Bachelor's,Full-time,Married,No,No,Auto,No,1
23,37418.0,35322,499.0,20,1,10.82,24,0.1,Bachelor's,Full-time,Married,No,No,Education,No,1
18,54028.0,17539,680.0,14,3,18.44,60,0.06,Bachelor's,Part-time,Single,No,No,Auto,Yes,1
22,47708.0,75473,546.0,12,2,4.01,36,0.06,High School,Full-time,Divorced,No,No,Other,No,1
58,33808.0,28970,581.0,45,3,6.14,48,0.05,Master's,Unemployed,Married,Yes,Yes,Auto,Yes,1
29,31710.0,28692,747.0,10,1,13.19,36,0.12,Master's,Full-time,Married,No,Yes,Auto,No,1
43,31889.0,23830,674.0,23,2,21.65,24,0.16,Bachelor's,Part-time,Single,No,Yes,Home,No,1
63,46132.0,41179,656.0,12,2,9.23,48,0.08,Bachelor's,Self-employed,Divorced,No,Yes,Education,No,1
51,51511.0,93698,628.0,67,1,20.21,36,0.37,Bachelor's,Full-time,Single,No,No,Other,No,1
66,36035.0,113330,790.0,5,1,2.2,60,0.07,Bachelor's,Self-employed,Married,Yes,No,Auto,Yes,1
31,136235.0,102934,850.0,5,4,6.0,48,0.05,Master's,Full-time,Married,No,Yes,Home,Yes,0
43,18064.0,63243,711.0,3,2,8.39,48,0.29,High School,Part-time,Married,No,No,Home,No,1
62,29918.0,24745,436.0,42,2,17.6,48,0.15,High School,Full-time,Married,Yes,No,Business,No,1
44,34009.0,84648,657.0,5,3,14.74,36,0.37,High School,Self-employed,Single,No,No,Auto,No,1
26,15597.0,7409,570.0,22,2,7.82,48,0.05,High School,Full-time,Married,Yes,Yes,Business,Yes,1
43,30892.0,101014,621.0,43,2,14.79,36,0.48,Bachelor's,Part-time,Divorced,No,No,Business,No,1
64,26193.0,95909,700.0,3,2,21.57,60,0.79,Bachelor's,Self-employed,Divorced,Yes,No,Home,No,1
39,39685.0,71519,668.0,79,2,12.33,36,0.22,High School,Full-time,Single,Yes,Yes,Education,Yes,1
64,29353.0,11183,543.0,10,3,17.31,12,0.07,High School,Unemployed,Married,Yes,No,Business,No,1
47,60335.0,360795,601.0,47,1,9.6,48,0.57,High School,Part-time,Divorced,Yes,Yes,Auto,No,1
60,39962.0,89735,757.0,47,2,17.68,12,0.4,Bachelor's,Full-time,Married,Yes,No,Other,No,1
65,19864.0,84637,795.0,12,4,21.07,36,0.9,Bachelor's,Unemployed,Single,No,No,Education,No,1
34,63528.0,8968,776.0,23,2,14.47,36,0.05,Bachelor's,Full-time,Single,No,Yes,Other,No,0
43,18657.0,35520,545.0,29,1,10.5,48,0.2,Bachelor's,Part-time,Single,Yes,No,Auto,Yes,1
53,78932.0,10406,630.0,16,1,18.59,36,0.05,High School,Unemployed,Married,No,Yes,Auto,No,1
18,108792.0,31874,598.0,13,4,23.03,60,0.07,PhD,Self-employed,Single,Yes,Yes,Education,No,1
25,28624.0,55705,716.0,57,3,3.5,24,0.07,Master's,Unemployed,Single,No,Yes,Business,No,1
66,106196.0,131654,634.0,6,1,13.36,24,0.17,Master's,Full-time,Married,Yes,Yes,Business,Yes,1
52,70127.0,24955,573.0,47,4,6.0,36,0.05,High School,Part-time,Married,Yes,No,Home,Yes,0
69,104482.0,63596,785.0,6,1,8.03,48,0.05,Bachelor's,Full-time,Single,No,No,Business,No,0
32,53409.0,15794,610.0,36,4,16.0,36,0.05,Bachelor's,Part-time,Single,No,Yes,Business,No,1
64,24405.0,31213,745.0,10,3,23.12,24,0.3,High School,Full-time,Single,Yes,Yes,Business,Yes,1
39,93724.0,181517,608.0,78,4,20.77,36,0.4,Master's,Full-time,Single,Yes,No,Business,No,1
31,22128.0,87614,726.0,27,1,7.67,36,0.3,High School,Unemployed,Single,Yes,Yes,Auto,No,1
43,23386.0,52353,632.0,22,2,2.53,48,0.06,High School,Unemployed,Married,No,No,Home,No,1
45,26065.0,22396,571.0,10,3,15.19,36,0.13,High School,Unemployed,Married,Yes,No,Business,Yes,1
40,27696.0,33653,757.0,21,2,13.74,48,0.17,Bachelor's,Self-employed,Single,No,No,Business,No,1
31,40288.0,15225,599.0,2,2,12.13,36,0.05,Bachelor's,Full-time,Single,No,Yes,Home,Yes,1
41,58745.0,31167,669.0,4,2,12.46,60,0.07,Master's,Full-time,Married,Yes,Yes,Education,Yes,1
19,106227.0,14795,549.0,10,3,15.02,60,0.05,Master's,Self-employed,Married,No,Yes,Education,Yes,1
62,18240.0,100174,542.0,89,2,10.74,36,0.59,High School,Full-time,Single,Yes,Yes,Education,Yes,1
43,123051.0,10052,790.0,18,1,5.77,60,0.05,Bachelor's,Full-time,Divorced,Yes,No,Education,No,0
31,103984.0,17599,671.0,15,2,7.7,48,0.05,High School,Self-employed,Single,Yes,Yes,Business,No,1
68,16942.0,75497,651.0,44,2,3.41,36,0.15,High School,Self-employed,Married,No,No,Education,Yes,1
24,30637.0,144684,624.0,35,3,3.23,36,0.15,Bachelor's,Unemployed,Single,No,No,Home,No,1
20,73709.0,205448,593.0,32,1,21.08,36,0.59,Master's,Part-time,Single,Yes,No,Education,No,1
64,48098.0,113481,709.0,27,2,4.76,36,0.11,High School,Full-time,Single,No,Yes,Business,No,1
40,67850.0,19255,780.0,4,1,3.52,24,0.05,High School,Unemployed,Married,Yes,Yes,Auto,No,1
63,59433.0,25188,729.0,14,1,20.18,60,0.09,High School,Self-employed,Married,No,No,Business,Yes,0
60,39034.0,127761,711.0,69,2,22.98,24,0.75,Bachelor's,Full-time,Married,No,No,Other,Yes,1
64,16473.0,137073,633.0,96,1,6.53,36,0.54,High School,Full-time,Single,No,No,Education,No,1
62,45720.0,66408,713.0,17,1,18.66,48,0.27,Bachelor's,Self-employed,Single,No,No,Other,No,1
35,16742.0,27581,825.0,0,3,5.58,48,0.09,High School,Full-time,Married,Yes,No,Auto,No,1
55,47397.0,20220,637.0,20,1,16.98,36,0.07,High School,Full-time,Married,Yes,No,Auto,No,1
52,71402.0,119747,690.0,7,2,16.95,36,0.28,Bachelor's,Part-time,Single,No,No,Business,No,1
68,45780.0,18784,775.0,6,4,11.44,36,0.05,High School,Part-time,Single,Yes,Yes,Other,No,1
32,160000.0,70047,825.0,10,3,21.4,48,0.09,Bachelor's,Full-time,Married,No,Yes,Auto,No,1
42,36299.0,211433,671.0,3,2,4.66,36,0.27,Bachelor's,Self-employed,Married,Yes,No,Education,No,1
54,63356.0,78306,732.0,1,1,12.48,12,0.15,Master's,Full-time,Single,No,No,Education,No,1
45,53508.0,22877,638.0,17,4,15.24,36,0.07,High School,Full-time,Single,No,Yes,Auto,No,1
27,160000.0,24919,687.0,9,3,18.7,48,0.05,Bachelor's,Unemployed,Single,No,No,Other,No,1
56,58716.0,10849,639.0,8,1,5.14,60,0.05,Master's,Full-time,Single,No,Yes,Education,Yes,0
34,21270.0,74547,759.0,7,4,13.77,12,0.48,Bachelor's,Full-time,Married,No,Yes,Business,No,1
56,123943.0,48842,802.0,20,1,12.01,36,0.05,Master's,Self-employed,Divorced,Yes,No,Other,Yes,0
39,53568.0,18875,557.0,39,2,11.16,36,0.05,PhD,Full-time,Married,No,Yes,Education,No,1
43,17141.0,20500,651.0,32,2,9.91,36,0.12,Bachelor's,Full-time,Married,No,No,Business,No,1
61,52508.0,5543,614.0,111,4,23.93,48,0.05,High School,Full-time,Divorced,Yes,Yes,Education,No,0
42,90131.0,235157,632.0,73,4,5.74,24,0.15,High School,Full-time,Single,Yes,Yes,Home,No,1
34,45116.0,110621,639.0,16,2,18.57,36,0.46,Bachelor's,Full-time,Single,No,No,Other,No,1
30,30294.0,35069,586.0,50,3,10.29,36,0.12,Bachelor's,Full-time,Single,No,No,Business,Yes,1
37,75195.0,180226,683.0,6,3,16.28,36,0.39,Bachelor's,Unemployed,Married,Yes,No,Business,No,1
42,68396.0,72828,560.0,7,3,23.74,36,0.25,High School,Self-employed,Single,No,Yes,Other,No,1
21,42498.0,88529,735.0,36,2,12.51,48,0.26,Master's,Full-time,Single,No,Yes,Home,No,1
27,20868.0,73357,684.0,7,2,20.14,12,0.71,Master's,Full-time,Married,Yes,No,Education,No,1
20,25114.0,89844,569.0,18,2,3.67,36,0.13,Bachelor's,Full-time,Married,No,No,Business,No,1
58,61944.0,16247,565.0,11,2,14.2,36,0.05,Bachelor's,Full-time,Single,Yes,No,Business,No,1
62,72411.0,54586,726.0,7,2,10.41,60,0.08,Bachelor's,Full-time,Divorced,Yes,No,Auto,No,1
35,26461.0,118578,600.0,5,2,17.38,36,0.78,High School,Full-time,Married,Yes,No,Education,Yes,1
64,31059.0,6184,791.0,28,3,2.81,24,0.05,Master's,Full-time,Single,Yes,No,Auto,No,0
53,17828.0,12905,479.0,1,2,11.85,36,0.09,Bachelor's,Full-time,Married,Yes,Yes,Education,No,1
64,58745.0,21913,570.0,36,2,12.88,36,0.05,Bachelor's,Self-employed,Single,Yes,Yes,Other,No,1
39,15125.0,25950,627.0,67,1,20.58,36,0.35,Master's,Full-time,Married,Yes,No,Other,No,1
51,16668.0,17105,657.0,12,2,10.46,36,0.11,Bachelor's,Full-time,Single,No,No,Education,No,1
64,15152.0,63742,716.0,15,2,9.05,24,0.38,Bachelor's,Full-time,Divorced,No,No,Business,No,1
25,51278.0,25890,,26,1,10.56,48,0.05,Master's,Full-time,Married,No,No,Education,No,0
57,33908.0,15325,632.0,32,1,11.63,36,0.05,Master's,Unemployed,Single,No,No,Other,No,1
66,27361.0,146756,602.0,23,2,7.6,36,0.41,Bachelor's,Part-time,Single,No,Yes,Home,No,1
61,100344.0,76253,592.0,35,3,3.0,24,0.05,Master's,Self-employed,Divorced,Yes,Yes,Education,No,1
36,22496.0,21946,599.0,49,1,23.79,60,0.23,Bachelor's,Self-employed,Married,No,No,Business,Yes,1
59,32264.0,31866,653.0,120,3,18.84,24,0.19,High School,Full-time,Single,No,Yes,Education,No,1
58,113651.0,86005,503.0,14,3,23.68,60,0.18,Master's,Self-employed,Married,Yes,Yes,Auto,No,1
54,34496.0,98899,705.0,26,2,16.58,36,0.48,Bachelor's,Part-time,Married,No,Yes,Education,No,1
23,43314.0,16646,665.0,14,2,21.42,36,0.08,High School,Self-employed,Single,No,No,Home,No,1
69,17931.0,170474,650.0,8,4,11.91,36,0.95,High School,Unemployed,Single,No,No,Auto,No,1
43,69650.0,97302,756.0,120,2,9.68,48,0.14,High School,Part-time,Married,No,No,Education,Yes,0
51,34232.0,121616,710.0,0,2,23.86,48,0.85,PhD,Part-time,Divorced,No,Yes,Auto,No,1
62,71420.0,14319,670.0,2,2,5.73,36,0.05,Bachelor's,Full-time,Single,No,No,Home,No,0
23,25246.0,14284,715.0,26,3,6.77,36,0.05,High School,Full-time,Single,Yes,No,Other,No,0
54,34215.0,26862,607.0,37,1,16.7,36,0.13,High School,Self-employed,Single,No,Yes,Education,No,1
50,69052.0,9009,710.0,39,2,7.62,24,0.05,High School,Full-time,Married,No,Yes,Education,No,0
39,142573.0,10729,729.0,36,2,11.48,36,0.05,Bachelor's,Full-time,Married,No,Yes,Auto,Yes,0
38,17151.0,14273,451.0,46,2,22.51,24,0.19,High School,Self-employed,Single,No,No,Auto,Yes,1
23,73580.0,79777,810.0,40,2,7.85,24,0.09,Bachelor's,Full-time,Single,No,Yes,Auto,No,0
23,27518.0,6841,688.0,23,4,13.23,48,0.05,Master's,Full-time,Married,No,Yes,Education,Yes,0
65,43005.0,10214,711.0,19,4,18.21,60,0.05,Bachelor's,Self-employed,Married,No,No,Education,Yes,0
21,26991.0,178141,752.0,38,2,3.58,48,0.24,Bachelor's,Full-time,Married,Yes,No,Business,No,1
47,48266.0,10241,648.0,39,1,3.59,60,0.05,Master's,Part-time,Single,No,Yes,Home,No,0
28,30282.0,51261,624.0,12,2,18.41,24,0.31,High School,Self-employed,Divorced,No,Yes,Education,No,1
47,29206.0,66729,685.0,0,1,22.24,24,0.51,High School,Self-employed,Married,No,Yes,Education,No,1
48,16353.0,196059,850.0,11,2,15.02,36,0.95,Bachelor's,Full-time,Married,No,No,Auto,No,1
41,20563.0,143036,651.0,22,2,2.84,36,0.2,Bachelor's,Full-time,Single,Yes,No,Business,No,1
26,102145.0,39862,605.0,22,2,11.94,24,0.05,Master's,Full-time,Single,No,Yes,Education,No,1
20,160000.0,176008,774.0,14,1,17.85,24,0.2,High School,Full-time,Divorced,No,No,Business,Yes,1
68,68077.0,38966,482.0,80,3,15.9,60,0.09,Bachelor's,Part-time,Single,No,Yes,Business,No,1
48,26830.0,71504,650.0,19,3,6.36,24,0.17,High School,Full-time,Single,Yes,Yes,Home,No,1
57,33021.0,23034,605.0,4,1,3.17,48,0.05,High School,Full-time,Married,No,No,Education,No,1
54,62080.0,65742,713.0,6,1,21.56,36,0.23,High School,Full-time,Single,No,Yes,Education,No,1
53,136036.0,51355,671.0,2,4,6.97,60,0.05,High School,Unemployed,Divorced,Yes,No,Other,Yes,1
41,36274.0,61010,566.0,9,2,23.91,12,0.4,High School,Part-time,Married,Yes,No,Education,No,1
48,76920.0,73865,715.0,10,4,4.54,24,0.05,High School,Part-time,Married,Yes,No,Home,Yes,1
23,144207.0,16430,590.0,12,2,4.52,36,0.05,High School,Unemployed,Married,No,Yes,Auto,Yes,1
19,87355.0,26508,655.0,54,1,16.7,24,0.05,Bachelor's,Full-time,Married,No,Yes,Home,No,0
37,24018.0,84963,623.0,43,2,7.94,24,0.28,High School,Self-employed,Married,Yes,Yes,Auto,Yes,1
45,15282.0,15734,729.0,20,4,23.44,36,0.24,High School,Full-time,Married,No,Yes,Home,No,1
28,38710.0,30317,620.0,17,1,7.21,48,0.06,High School,Self-employed,Married,Yes,Yes,Education,No,1
21,41527.0,70882,397.0,14,3,15.72,48,0.27,Master's,Full-time,Single,No,Yes,Other,Yes,1
32,22864.0,171500,565.0,0,2,10.94,36,0.82,Master's,Part-time,Single,No,No,Auto,Yes,1
23,26725.0,9697,665.0,75,1,3.99,60,0.05,High School,Part-time,Single,No,Yes,Home,No,0
66,65708.0,48609,603.0,10,2,17.58,36,0.13,Master's,Self-employed,Single,Yes,No,Business,Yes,1
47,37243.0,10127,761.0,55,1,19.39,12,0.05,Bachelor's,Self-employed,Single,Yes,No,Other,Yes,0
55,28362.0,33598,573.0,40,2,20.18,36,0.24,High School,Full-time,Divorced,No,Yes,Education,No,1
68,49108.0,16570,709.0,3,1,12.78,60,0.05,PhD,Full-time,Single,No,No,Auto,No,0
19,52020.0,67893,728.0,11,4,23.47,36,0.31,Bachelor's,Full-time,Single,No,Yes,Auto,No,1
32,66346.0,90087,674.0,19,1,19.59,36,0.27,High School,Part-time,Single,No,Yes,Auto,No,1
28,20965.0,22048,694.0,9,2,11.68,24,0.12,Bachelor's,Full-time,Married,Yes,No,Business,No,1
25,62352.0,79872,648.0,15,3,4.19,36,0.05,High School,Part-time,Single,No,No,Education,No,1
43,47020.0,40524,683.0,9,2,7.6,48,0.07,Bachelor's,Full-time,Married,No,Yes,Business,No,1
68,17075.0,25009,618.0,30,2,18.99,24,0.28,High School,Full-time,Single,No,Yes,Business,No,1
62,67590.0,49464,679.0,13,2,21.35,48,0.16,High School,Self-employed,Divorced,Yes,Yes,Other,Yes,1
61,31905.0,33648,635.0,12,1,16.57,36,0.17,High School,Full-time,Married,Yes,Yes,Business,No,1
22,29036.0,20681,635.0,9,1,10.53,36,0.08,Bachelor's,Part-time,Married,No,No,Home,No,1
23,35802.0,89843,603.0,48,3,9.83,60,0.25,Bachelor's,Full-time,Married,Yes,Yes,Auto,Yes,1
43,29872.0,100828,641.0,31,3,9.89,12,0.33,Bachelor's,Full-time,Single,Yes,Yes,Business,No,1
21,29452.0,101660,788.0,38,3,12.81,60,0.44,Bachelor's,Unemployed,Single,No,No,Auto,No,1
36,72773.0,33889,639.0,15,2,17.97,48,0.08,High School,Full-time,Married,Yes,No,Home,Yes,1
37,19653.0,16145,739.0,54,4,5.59,60,0.05,Master's,Self-employed,Married,No,Yes,Business,No,0
50,138436.0,115109,704.0,16,2,2.46,36,0.05,Bachelor's,Unemployed,Single,No,No,Business,No,1
37,43333.0,28962,680.0,5,1,3.68,36,0.05,Bachelor's,Self-employed,Married,No,No,Other,No,1
66,22070.0,87715,684.0,21,1,16.65,48,0.66,Bachelor's,Full-time,Married,No,Yes,Education,Yes,1
29,19923.0,107044,661.0,17,2,20.67,24,0.95,Master's,Full-time,Single,Yes,No,Auto,No,1
64,46335.0,92700,610.0,2,3,10.94,24,0.22,High School,Full-time,Divorced,Yes,No,Education,No,1
18,50083.0,34638,806.0,32,1,9.43,36,0.07,High School,Full-time,Single,No,Yes,Auto,No,0
43,16906.0,171853,749.0,50,1,2.44,48,0.25,Bachelor's,Self-employed,Married,Yes,Yes,Home,Yes,1
31,24743.0,69757,663.0,13,2,3.34,36,0.09,Bachelor's,Full-time,Single,No,Yes,Auto,No,1
55,70545.0,56445,665.0,42,4,18.6,24,0.15,Master's,Full-time,Divorced,No,Yes,Home,No,1
54,16781.0,76821,708.0,26,3,3.97,24,0.18,Bachelor's,Full-time,Single,No,No,Auto,No,1
28,82607.0,7745,570.0,9,1,20.22,48,0.05,PhD,Full-time,Single,Yes,No,Other,Yes,1
53,52569.0,34708,593.0,12,1,19.18,48,0.13,Master's,Full-time,Married,Yes,Yes,Other,No,1
30,34946.0,132827,500.0,87,3,20.03,36,0.76,Master's,Self-employed,Single,No,No,Business,No,1
60,29885.0,15538,642.0,7,3,17.09,24,0.09,Bachelor's,Self-employed,Married,No,No,Home,No,1
20,15680.0,37107,761.0,4,2,2.46,36,0.06,Master's,Full-time,Divorced,No,Yes,Other,No,1
